Lab_ID_String,Sample_ID,lake,Collection_Date,Anatoxin A,Cylindrospermopsin,Microcystin LA,Microcystin LF,Microcystin LR,Microcystin LW,Microcystin RR,Saxitoxin,Batch,Analysis Date,%Imidazolidine
08-1596,PAWNEE WEST BEACH 08-25,PAWNEE WEST,2008-08-25,,1.2,,,1.1,,0.2,,W08156,2009-01-09 0:00,18.412
08-1601,PAWNEE WEST BEACH 09-02,PAWNEE WEST,2008-09-02,0.3,,,,,,,,W08156,2009-01-09 0:00,83.05
08-1629,PAWNEE WEST BEACH 09-10,PAWNEE WEST,2008-09-10,,,,,0.3,,,,W08175,2009-01-09 0:00,44.354
08-2552,PAWNEE WEST BEACH 09-10,PAWNEE WEST,2008-09-15,,,,,,,,,W08175,2009-01-09 0:00,38.32
08-2560,PAWNEE WEST BEACH 09-22,PAWNEE WEST,2008-09-22,,,,,,,,,W08175,2009-01-09 0:00,31.568
08-2786,PAWNEE WEST BEACH 09-29,PAWNEE WEST,2008-09-29,,,,,,,,,W08224,2009-01-09 0:00,19.82
08-1279,RUMEN CONTENT,RUMEN CONTENT,2008-07-09,35.2,,,,,,,,W08124,2008-08-20 0:00,34.656
07-1010,SITE #1 EPI,SITE #1 EPI,2007-07-16,1.2,,,,,,,,W07129,2008-03-06 0:00,87.788004
07-1011,SITE #1 HYPO,SITE #1 HYPO,2007-07-16,,,,,,,,,W07129,2008-03-06 0:00,126.726546
07-1012,SITE #2 EPI,SITE #2 EPI,2007-07-16,0.9,,,,,,,,W07129,2008-03-06 0:00,76.831712
07-1013,SITE #2 HYPO,SITE #2 HYPO,2007-07-16,,,,,,,,,W07129,2008-03-06 0:00,73.129898
07-1014,SITE #3 EPI,SITE #3 EPI,2007-07-16,1.6,,,,,,,,W07129,2008-03-06 0:00,84.393688
07-1015,SITE #4 EPI,SITE #4 EPI,2007-07-16,1.2,,,,,,,1.2,W07129,2008-03-06 0:00,92.891036
07-1406,SITE 1 EPI,SITE 1 EPI,2007-08-28,0.6,,,,,,,,W07129,2008-03-06 0:00,77.216216
07-1407,SITE 1 HYPO,SITE 1 HYPO,2007-08-28,0.6,,,,,,,,W07129,2008-03-06 0:00,113.7807
07-1408,SITE 2 EPI,SITE 2 EPI,2007-08-28,0.8,,,,,,,,W07129,2008-03-06 0:00,66.496118
07-1409,SITE 2 HYPO,SITE 2 HYPO,2007-08-28,0.5,,,,,,,,W07129,2008-03-06 0:00,93.411624
07-1410,SITE 3,SITE 3,2007-08-28,0.5,,,,,,,,W07129,2008-03-06 0:00,92.572982
